address,balance,Days_held,Amount_Received(OP),Amount_Sold(OP),percentage_spent,TDR,Wallet_Age(Days),From_Count,To_Count,Past_participant,duration
0xf2e36b1f99e034306270f86e1a63e7ba64713e6c,0.0021,61,14.42919998218669,29.0,100.0,0.359,237,44,39,False,Over 4 weeks
0x2549771fbf0b1cebdf1c8e377bbad744e0785c05,0.048,68,77.86261719730182,0.0,0.0,0.027,218,0,4,True,Over 4 weeks
0xf6fb4323857f8f8db50c9e98db8c076786e2f051,0.00398,68,3.945934051850697,0.0,0.0,0.759,96,28,32,False,Over 4 weeks
0x84a547d1a2523d5095cc876768017253a5afa599,0.00086,68,3.172515788003433,0.0,0.0,1.154,106,36,39,False,Over 4 weeks
0xfe7c8b408fb0ecf3d678309c9dc3cf9b65819b41,0.00241,0,6.305629141594004,10.845217,100.0,2.273,141,47,53,False,Less than a week
0xb682326f04b42c652ed730b738d52f5d4d2dc342,0.00214,68,3.249758580275361,2.249780097987177,69.23,0.531,113,29,31,False,Over 4 weeks
0xca4e189f86b14cf687d8dce07ff8d6513d7c308e,0.00028,68,6.199681185177502,0.0,0.0,5.263,158,49,51,False,Over 4 weeks
0x386217dc3263eee1ed470a2ac7a5b154141a24b4,0.00212,54,7.846635273962621,10.22663527396262,100.0,0.654,95,27,26,False,Over 4 weeks
0x2c625eb40187569f76505e57068b01a3034d7172,0.00279,68,4.624278141716824,0.0,0.0,0.683,132,39,45,False,Over 4 weeks
0x387bb7ce8515f3f54f1c37cbde239ef178eff981,0.10011,0,4.064337919505932,4.064699999946908,100.0,0.053,322,8,9,True,Less than a week
0x959acd60edd1c7eea9bd2837f90912e59b5afe35,0.0001,18,157.67940592294718,157.67940592294718,100.0,0.111,68,1,1,False,2-3 weeks
0xa6baf8b3a7ac6c9e79cb3d107945ab22a382c7c5,0.00506,17,9.095108928022992,9.095108928022992,100.0,0.099,383,15,18,False,2-3 weeks
0x16c44392dfbcdc15d6dd3dc34c2e3b9f5d692dc4,0.0283,68,3.708982899332512,0.0,0.0,1.347,117,31,35,False,Over 4 weeks
0x116df9e42c8c51c4a0a3fc26fb2b8db8669c3315,0.0007,2,3.570833767999179,5.0,100.0,0.646,139,35,38,False,Less than a week
0x72db50faac011778bb69822d0ea54883278a9b84,0.00489,16,9.4379029736676,11.560222430986094,100.0,0.112,382,18,19,False,2-3 weeks
0x8d5c2f985436ab86a7c7c2a12eb5ad01a8664d1e,0.00116,0,5.44099741571917,5.44099741571917,100.0,4.167,161,44,56,False,Less than a week
0x9369534a0883ac9f4ff2c5f799a8d33836094c78,0.00063,50,3.2562401177459432,1413.8883,100.0,0.59,96,22,24,False,Over 4 weeks
0xca68e56eb4be14c51bf4dab8693b463444f77444,6e-05,68,3.402828409500384,0.0,0.0,0.962,147,38,38,False,Over 4 weeks
0xbca5a81c93d10b5c639498b80a4dcc07e6e3df5e,0.00297,17,7.956879959531409,7.956879959531408,100.0,0.114,383,17,21,False,2-3 weeks
0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6,0.00402,3,30.07266332411669,30.464605997176932,100.0,0.334,459,33,67,True,Less than a week
0xfca3660ec168a9a0e90eeeb0e2e42de69dddbd9a,0.0073,6,11.154132076818012,13.695645,100.0,0.87,236,50,50,False,Less than a week
0x690edd419bd643abde527adb63c9bb8e967a266b,1e-05,2,8.387907605330035,16.629457605330035,100.0,12.5,101,46,54,False,Less than a week
0xa9cefffc184cfe4fa75ca137721bd9d4863855d1,0.01572,68,4.485984798893408,0.0,0.0,0.073,522,16,22,True,Over 4 weeks
0xf17e6b621861990f096b60172b3d700fa9ccec85,0.09252,68,31.513397726346543,0.0,0.0,0.194,327,21,34,True,Over 4 weeks
0x7c41865f33dab5ea2cf436b5db167aa5a3bba4ab,0.01025,68,256.5664922426159,0.0,0.0,0.08,495,14,20,True,Over 4 weeks
